,id,date,saving_ratio,debt_saving_ratio,default_flag,max_dpd_6_months,max_dpd_12_months,max_dpd_24_months,problematic_cheque_count,customer_segment,duration_in_month,credit_history,purpose,credit_amount,savings,sme_history_begin,installment_as_income_perc,other_debtors,present_res_since,sector,average_credit_duration,customer_profile,business_type,credits_this_bank,revenue_range,people_under_maintenance,foreign_stakeholders,sector_risk,EBITDA,ROE,ROA,Revenue_Growth_Rate,Int_coverage_ratio,Net_Profit_Margin
183,184,12.06.2021,0.31,0.29,0,0,0,0.0,0,large_sme,24,critical account/ other credits existing (not at this bank),rent_payment,3777,.. >= 1000 DM ,1 <= ... < 4 years,4,none,4,Real Estate,50,individual_consumers,corporation,1,5m-10m,10,yes,6,319,85,98,58,-64,90.0
184,185,1.11.2021,0.89,0.87,1,30,60,60.0,1,medium_sme,18,critical account/ other credits existing (not at this bank),car (new),884,... < 100 DM,.. >= 7 years,4,none,4,Construction,36,small_businesses,corporation,1,5m-10m,20,yes,8,693,89,136,46,42,90.0
185,186,19.07.2023,0.11,0.09,0,0,0,0.0,3,large_sme,15,critical account/ other credits existing (not at this bank),domestic appliances,1360,... < 100 DM,1 <= ... < 4 years,4,none,2,Oil and gas,31,individual_consumers,corporation,2,5m-10m,10,yes,4,651,11,31,74,-44,22.0
186,187,22.07.2020,0.37,0.35,1,30,60,60.0,3,medium_sme,9,all credits at this bank paid back duly,car (used),5129,... < 100 DM,.. >= 7 years,2,none,4,Telecommunications,74,small_businesses,partnership,1,10m+,20,yes,6,174,105,99,20,-91,96.0
187,188,28.02.2022,0.34,0.32,0,0,0,0.0,3,medium_sme,16,critical account/ other credits existing (not at this bank),car (new),1175,... < 100 DM,new company,2,none,3,Construction,68,individual_consumers,partnership,3,0m-1m,10,yes,5,238,70,54,7,0,-8.0
188,189,1.09.2022,1.01,0.99,1,30,60,60.0,0,micro_sme,12,existing credits paid back duly till now,domestic appliances,674,100 <= ... < 500 DM,4 <= ... < 7 years,4,none,1,Oil and gas,20,individual_consumers,corporation,1,5m-10m,10,yes,5,817,121,80,33,-80,76.0
189,190,6.03.2022,0.22,0.2,0,0,0,0.0,3,medium_sme,18,no credits taken/ all credits paid back duly,rent_payment,3244,... < 100 DM,1 <= ... < 4 years,1,none,4,Construction,33,small_businesses,corporation,2,5m-10m,10,yes,6,431,76,14,76,-51,20.0
190,191,26.01.2020,0.37,0.35,1,30,60,60.0,1,large_sme,24,existing credits paid back duly till now,business,4591,.. >= 1000 DM ,1 <= ... < 4 years,2,none,3,Oil and gas,54,individual_consumers,corporation,3,10m+,10,yes,6,981,50,84,77,54,89.0
191,192,22.03.2020,0.78,0.76,1,30,60,60.0,0,medium_sme,48,no credits taken/ all credits paid back duly,business,3844,100 <= ... < 500 DM,4 <= ... < 7 years,4,none,4,Telecommunications,34,individual_consumers,partnership,1,1m-5m,20,yes,3,148,71,146,49,-34,100.0
192,193,21.11.2020,1.0,0.97,1,30,60,60.0,0,medium_sme,27,existing credits paid back duly till now,business,3915,... < 100 DM,1 <= ... < 4 years,4,none,2,Construction,36,individual_consumers,corporation,1,5m-10m,20,yes,4,810,42,130,79,28,79.0
193,194,19.10.2022,0.03,0.01,0,0,0,0.0,3,large_sme,6,existing credits paid back duly till now,domestic appliances,2108,... < 100 DM,4 <= ... < 7 years,2,none,2,Real Estate,29,individual_consumers,sole_proprietorship,1,5m-10m,10,yes,0,734,73,36,48,61,71.0
194,195,26.12.2020,1.01,0.99,1,30,60,60.0,3,medium_sme,45,existing credits paid back duly till now,domestic appliances,3031,100 <= ... < 500 DM,1 <= ... < 4 years,4,guarantor,4,Oil and gas,21,individual_consumers,sole_proprietorship,1,5m-10m,10,yes,7,558,91,90,39,28,80.0
195,196,28.07.2022,0.05,0.03,1,0,0,0.0,3,medium_sme,9,critical account/ other credits existing (not at this bank),lease_investment,1501,... < 100 DM,.. >= 7 years,2,none,3,Construction,34,individual_consumers,corporation,2,10m+,10,yes,10,875,133,51,12,80,75.0
196,197,24.10.2021,0.34,0.32,0,0,0,0.0,1,large_sme,6,critical account/ other credits existing (not at this bank),domestic appliances,1382,... < 100 DM,1 <= ... < 4 years,1,none,1,Construction,28,individual_consumers,corporation,2,5m-10m,10,yes,7,362,15,51,54,83,44.0
197,198,30.09.2020,0.17,0.15,1,0,0,0.0,2,medium_sme,12,existing credits paid back duly till now,rent_payment,951,100 <= ... < 500 DM,... < 1 year ,4,none,4,Construction,27,small_businesses,sole_proprietorship,4,5m-10m,10,yes,7,741,55,126,36,-21,76.0
198,199,19.03.2021,0.13,0.11,0,0,0,0.0,2,medium_sme,24,existing credits paid back duly till now,car (used),2760,unknown/ no savings account,.. >= 7 years,4,none,4,Telecommunications,36,small_businesses,partnership,1,5m-10m,10,yes,4,691,4,11,32,-13,71.0
199,200,21.06.2020,0.23,0.21,1,0,0,0.0,0,medium_sme,18,delay in paying off in the past,rent_payment,4297,... < 100 DM,.. >= 7 years,4,none,3,Telecommunications,40,individual_consumers,corporation,1,10m+,10,yes,8,371,121,125,73,-86,75.0
200,201,3.09.2021,0.41,0.39,0,0,0,0.0,1,large_sme,9,critical account/ other credits existing (not at this bank),lease_investment,936,500 <= ... < 1000 DM ,.. >= 7 years,4,none,2,Construction,52,individual_consumers,corporation,2,5m-10m,10,yes,7,18,30,61,62,-68,-6.0
201,202,14.04.2021,0.14,0.12,0,0,0,0.0,0,micro_sme,12,existing credits paid back duly till now,car (new),1168,... < 100 DM,1 <= ... < 4 years,4,none,3,Real Estate,27,individual_consumers,corporation,1,1m-5m,10,yes,0,249,60,86,81,51,61.0
202,203,23.06.2020,0.44,0.42,0,0,0,0.0,3,large_sme,27,delay in paying off in the past,business,5117,... < 100 DM,4 <= ... < 7 years,3,none,4,Construction,26,individual_consumers,corporation,2,5m-10m,10,yes,2,691,4,93,42,-87,54.0
203,204,6.12.2023,0.04,0.02,1,0,0,0.0,0,micro_sme,12,existing credits paid back duly till now,retraining,902,... < 100 DM,4 <= ... < 7 years,4,none,4,Oil and gas,21,individual_consumers,sole_proprietorship,1,5m-10m,10,yes,3,594,125,145,36,70,72.0
204,205,11.03.2022,0.32,0.3,0,0,0,0.0,1,large_sme,12,critical account/ other credits existing (not at this bank),car (new),1495,... < 100 DM,.. >= 7 years,4,none,1,Real Estate,38,individual_consumers,corporation,2,1m-5m,20,yes,0,624,27,97,61,-21,39.0
205,206,26.05.2021,0.31,0.29,0,0,0,0.0,2,micro_sme,30,critical account/ other credits existing (not at this bank),car (used),10623,... < 100 DM,.. >= 7 years,3,none,4,Telecommunications,38,individual_consumers,partnership,3,10m+,20,yes,2,684,31,85,79,-72,67.0
206,207,23.11.2021,0.51,0.49,0,0,0,0.0,1,large_sme,12,critical account/ other credits existing (not at this bank),rent_payment,1935,... < 100 DM,.. >= 7 years,4,none,4,Real Estate,43,individual_consumers,corporation,3,5m-10m,10,yes,3,732,30,50,10,77,59.0
207,208,13.04.2020,0.45,0.43,0,0,0,0.0,2,medium_sme,12,critical account/ other credits existing (not at this bank),repairs,1424,... < 100 DM,4 <= ... < 7 years,4,none,3,Oil and gas,26,individual_consumers,corporation,1,5m-10m,10,yes,2,631,1,6,23,-72,9.0
208,209,6.08.2020,0.05,0.03,0,0,0,0.0,0,micro_sme,24,existing credits paid back duly till now,business,6568,... < 100 DM,1 <= ... < 4 years,2,none,2,Construction,21,large_enterprises,corporation,1,1m-5m,10,yes,0,63,67,47,74,-90,19.0
209,210,22.08.2022,0.27,0.25,0,0,0,0.0,0,large_sme,12,existing credits paid back duly till now,car (used),1413,.. >= 1000 DM ,4 <= ... < 7 years,3,none,2,Oil and gas,55,individual_consumers,corporation,1,5m-10m,10,no,3,177,54,99,37,39,64.0
210,211,19.09.2022,0.13,0.11,0,0,0,0.0,0,large_sme,9,critical account/ other credits existing (not at this bank),domestic appliances,3074,unknown/ no savings account,1 <= ... < 4 years,1,none,2,Real Estate,33,individual_consumers,corporation,2,5m-10m,20,yes,7,156,59,48,26,-61,24.0
211,212,11.02.2021,0.34,0.32,0,0,0,0.0,3,large_sme,36,existing credits paid back duly till now,domestic appliances,3835,unknown/ no savings account,.. >= 7 years,2,none,4,Real Estate,45,individual_consumers,corporation,1,1m-5m,10,yes,7,595,69,90,23,-8,66.0
212,213,14.01.2023,0.3,0.28,1,0,0,0.0,0,micro_sme,27,no credits taken/ all credits paid back duly,business,5293,... < 100 DM,new company,2,none,4,Oil and gas,50,large_enterprises,corporation,2,5m-10m,10,yes,10,320,38,76,33,-26,100.0
213,214,10.06.2021,0.98,0.96,1,0,0,0.0,3,small_sme,30,delay in paying off in the past,other business spend,1908,... < 100 DM,.. >= 7 years,4,none,4,Real Estate,66,individual_consumers,corporation,1,10m+,10,yes,8,451,89,96,58,45,97.0
214,215,12.12.2022,0.47,0.45,0,0,0,0.0,0,large_sme,36,critical account/ other credits existing (not at this bank),domestic appliances,3342,unknown/ no savings account,.. >= 7 years,4,none,2,Construction,51,individual_consumers,corporation,1,5m-10m,10,yes,0,785,50,10,11,-38,39.0
215,216,27.12.2021,0.34,0.32,0,0,0,0.0,0,medium_sme,6,critical account/ other credits existing (not at this bank),retraining,932,unknown/ no savings account,4 <= ... < 7 years,1,none,3,Oil and gas,39,individual_consumers,corporation,2,1m-5m,10,yes,2,64,9,54,57,41,53.0
216,217,17.11.2020,0.38,0.36,0,0,0,0.0,0,micro_sme,18,no credits taken/ all credits paid back duly,business,3104,... < 100 DM,4 <= ... < 7 years,3,none,1,Oil and gas,31,small_businesses,corporation,1,5m-10m,10,yes,6,680,84,28,5,-7,45.0
217,218,21.01.2023,0.29,0.26,0,0,0,0.0,0,small_sme,36,existing credits paid back duly till now,domestic appliances,3913,... < 100 DM,1 <= ... < 4 years,2,none,2,Real Estate,23,individual_consumers,corporation,1,5m-10m,10,yes,5,25,50,91,98,-43,23.0
218,219,20.09.2021,0.41,0.39,0,0,0,0.0,0,micro_sme,24,existing credits paid back duly till now,rent_payment,3021,... < 100 DM,1 <= ... < 4 years,2,none,2,Real Estate,24,individual_consumers,sole_proprietorship,1,1m-5m,10,yes,6,455,38,30,84,62,32.0
219,220,5.01.2023,0.26,0.24,0,0,0,0.0,1,large_sme,10,existing credits paid back duly till now,car (new),1364,... < 100 DM,1 <= ... < 4 years,2,none,4,Construction,64,individual_consumers,corporation,1,5m-10m,10,yes,4,401,29,51,82,40,14.0
220,221,18.08.2021,0.26,0.24,0,0,0,0.0,3,medium_sme,12,existing credits paid back duly till now,domestic appliances,625,... < 100 DM,... < 1 year ,4,guarantor,1,Real Estate,26,small_businesses,corporation,1,1m-5m,10,yes,3,610,41,15,60,-15,51.0
221,222,2.04.2020,0.48,0.46,0,0,0,0.0,2,micro_sme,12,existing credits paid back duly till now,lease_investment,1200,unknown/ no savings account,1 <= ... < 4 years,4,none,4,Oil and gas,23,small_businesses,sole_proprietorship,1,5m-10m,10,yes,7,536,4,58,37,28,49.0
222,223,6.03.2023,0.15,0.13,0,0,0,0.0,2,large_sme,12,existing credits paid back duly till now,domestic appliances,707,... < 100 DM,1 <= ... < 4 years,4,none,2,Real Estate,30,small_businesses,corporation,2,5m-10m,10,yes,2,369,56,61,86,34,30.0
223,224,14.12.2021,0.26,0.24,0,0,0,0.0,0,large_sme,24,delay in paying off in the past,business,2978,unknown/ no savings account,1 <= ... < 4 years,4,none,4,Real Estate,32,individual_consumers,corporation,2,5m-10m,20,yes,1,155,70,49,66,85,8.0
224,225,1.02.2022,0.26,0.24,0,0,0,0.0,2,large_sme,15,existing credits paid back duly till now,car (used),4657,... < 100 DM,1 <= ... < 4 years,3,none,2,Construction,30,individual_consumers,corporation,1,5m-10m,10,yes,7,487,-4,35,28,50,52.0
225,226,28.04.2021,0.31,0.29,0,0,0,0.0,0,large_sme,36,no credits taken/ all credits paid back duly,education,2613,... < 100 DM,1 <= ... < 4 years,4,none,2,Construction,27,individual_consumers,corporation,2,5m-10m,10,yes,6,453,77,50,33,-88,13.0
226,227,8.09.2021,1.0,0.98,1,0,0,0.0,0,medium_sme,48,existing credits paid back duly till now,domestic appliances,10961,.. >= 1000 DM ,4 <= ... < 7 years,1,co-applicant,2,Telecommunications,27,small_businesses,corporation,2,5m-10m,10,yes,7,499,30,109,14,95,91.0
227,228,24.11.2022,0.72,0.7,1,0,0,0.0,2,micro_sme,12,existing credits paid back duly till now,rent_payment,7865,... < 100 DM,.. >= 7 years,4,none,4,Telecommunications,53,individual_consumers,partnership,1,10m+,10,yes,9,731,83,91,26,75,76.0
228,229,29.07.2023,0.13,0.11,1,0,0,0.0,1,large_sme,9,existing credits paid back duly till now,domestic appliances,1478,... < 100 DM,4 <= ... < 7 years,4,none,2,Construction,22,individual_consumers,corporation,1,5m-10m,10,yes,9,123,30,99,89,-37,83.0
229,230,19.06.2020,0.27,0.25,0,0,0,0.0,0,micro_sme,24,existing credits paid back duly till now,rent_payment,3149,... < 100 DM,... < 1 year ,4,none,1,Telecommunications,22,small_businesses,partnership,1,5m-10m,10,yes,1,460,83,67,42,-87,52.0
230,231,30.04.2023,0.44,0.42,1,0,0,0.0,2,small_sme,36,existing credits paid back duly till now,domestic appliances,4210,... < 100 DM,1 <= ... < 4 years,4,none,2,Construction,26,individual_consumers,corporation,1,5m-10m,10,yes,10,711,41,131,98,76,76.0
231,232,15.07.2023,0.44,0.42,0,0,0,0.0,0,large_sme,9,existing credits paid back duly till now,car (new),2507,500 <= ... < 1000 DM ,.. >= 7 years,2,none,4,Telecommunications,51,individual_consumers,partnership,1,1m-5m,10,yes,5,206,72,29,84,14,40.0
232,233,29.12.2022,0.37,0.35,0,0,0,0.0,3,large_sme,12,existing credits paid back duly till now,domestic appliances,2141,100 <= ... < 500 DM,4 <= ... < 7 years,3,none,1,Telecommunications,35,individual_consumers,corporation,1,5m-10m,10,yes,3,760,26,44,80,-79,8.0
233,234,7.07.2022,0.4,0.38,0,0,0,0.0,3,medium_sme,18,existing credits paid back duly till now,domestic appliances,866,... < 100 DM,1 <= ... < 4 years,4,guarantor,2,Real Estate,25,individual_consumers,corporation,1,1m-5m,10,yes,4,338,71,8,42,76,33.0
234,235,15.09.2021,0.41,0.39,0,0,0,0.0,2,large_sme,4,critical account/ other credits existing (not at this bank),domestic appliances,1544,... < 100 DM,4 <= ... < 7 years,2,none,1,Real Estate,42,individual_consumers,corporation,3,1m-5m,20,yes,3,676,21,76,34,-32,39.0
235,236,27.04.2021,0.46,0.44,1,0,0,0.0,0,micro_sme,24,existing credits paid back duly till now,domestic appliances,1823,... < 100 DM,new company,4,none,2,Construction,30,large_enterprises,corporation,1,10m+,20,yes,10,127,40,123,100,-56,92.0
236,237,18.08.2020,0.82,0.8,1,0,0,0.0,2,medium_sme,6,existing credits paid back duly till now,car (new),14555,unknown/ no savings account,new company,1,none,2,Oil and gas,23,individual_consumers,corporation,1,0m-1m,10,yes,3,310,146,92,77,-5,80.0
237,238,19.01.2020,0.54,0.52,1,0,0,0.0,3,medium_sme,21,existing credits paid back duly till now,business,2767,100 <= ... < 500 DM,.. >= 7 years,4,none,2,Construction,61,small_businesses,sole_proprietorship,2,1m-5m,10,yes,10,192,121,94,81,77,91.0
238,239,31.07.2020,0.14,0.12,0,0,0,0.0,0,large_sme,12,critical account/ other credits existing (not at this bank),domestic appliances,1291,... < 100 DM,1 <= ... < 4 years,4,none,2,Oil and gas,35,individual_consumers,corporation,2,5m-10m,10,yes,0,787,57,49,51,1,26.0
239,240,3.10.2021,0.39,0.37,0,0,0,0.0,3,micro_sme,30,existing credits paid back duly till now,domestic appliances,2522,... < 100 DM,.. >= 7 years,1,guarantor,3,Oil and gas,39,individual_consumers,corporation,1,5m-10m,20,yes,6,42,0,39,47,68,76.0
240,241,13.06.2023,0.09,0.07,1,0,0,0.0,0,micro_sme,24,existing credits paid back duly till now,car (new),915,unknown/ no savings account,.. >= 7 years,4,none,2,Construction,29,small_businesses,corporation,1,5m-10m,10,yes,4,400,117,120,24,53,88.0
241,242,28.08.2022,0.11,0.09,0,0,0,0.0,2,large_sme,6,existing credits paid back duly till now,domestic appliances,1595,... < 100 DM,4 <= ... < 7 years,3,none,2,Oil and gas,51,individual_consumers,corporation,1,5m-10m,20,yes,2,12,3,33,90,74,12.0
242,243,10.03.2022,0.29,0.27,1,0,0,0.0,1,micro_sme,48,no credits taken/ all credits paid back duly,car (used),4605,... < 100 DM,.. >= 7 years,3,none,4,Telecommunications,24,individual_consumers,partnership,2,5m-10m,20,yes,8,594,104,84,84,-89,79.0
243,244,10.05.2023,0.18,0.16,0,0,0,0.0,1,large_sme,12,critical account/ other credits existing (not at this bank),business,1185,... < 100 DM,1 <= ... < 4 years,3,none,2,Real Estate,27,individual_consumers,corporation,2,5m-10m,10,yes,5,74,-6,67,47,-67,40.0
244,245,16.03.2020,0.33,0.31,0,0,0,0.0,0,large_sme,12,all credits at this bank paid back duly,retraining,3447,500 <= ... < 1000 DM ,1 <= ... < 4 years,4,none,3,Real Estate,35,individual_consumers,corporation,1,1m-5m,20,yes,2,672,2,82,1,-98,44.0
245,246,17.08.2023,0.45,0.43,0,0,0,0.0,0,large_sme,24,existing credits paid back duly till now,business,1258,... < 100 DM,4 <= ... < 7 years,4,none,1,Real Estate,25,individual_consumers,corporation,1,5m-10m,10,yes,3,178,87,72,68,-21,64.0
246,247,5.03.2022,0.05,0.03,0,0,0,0.0,3,large_sme,12,critical account/ other credits existing (not at this bank),domestic appliances,717,... < 100 DM,.. >= 7 years,4,none,4,Real Estate,52,individual_consumers,corporation,3,5m-10m,10,yes,2,315,89,30,55,68,60.0
247,248,26.05.2022,0.12,0.1,0,0,0,0.0,0,large_sme,6,no credits taken/ all credits paid back duly,car (new),1204,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,1,Telecommunications,35,small_businesses,sole_proprietorship,1,5m-10m,10,no,7,443,81,88,99,-47,75.0
248,249,26.02.2023,0.33,0.31,0,0,0,0.0,2,small_sme,24,existing credits paid back duly till now,rent_payment,1925,... < 100 DM,1 <= ... < 4 years,2,none,2,Real Estate,26,individual_consumers,corporation,1,5m-10m,10,yes,6,621,55,58,90,-25,4.0
249,250,3.11.2021,0.88,0.86,1,0,0,0.0,0,large_sme,18,existing credits paid back duly till now,domestic appliances,433,... < 100 DM,new company,3,co-applicant,4,Real Estate,22,individual_consumers,sole_proprietorship,1,5m-10m,10,yes,5,606,78,119,54,46,95.0
250,251,27.10.2020,0.04,0.02,0,0,0,0.0,2,micro_sme,6,critical account/ other credits existing (not at this bank),car (new),666,.. >= 1000 DM ,4 <= ... < 7 years,3,none,4,Real Estate,39,individual_consumers,corporation,2,1m-5m,10,yes,3,410,14,54,48,22,34.0
251,252,26.08.2022,0.22,0.2,0,0,0,0.0,2,small_sme,12,existing credits paid back duly till now,rent_payment,2251,... < 100 DM,1 <= ... < 4 years,1,none,2,Construction,46,individual_consumers,corporation,1,1m-5m,10,yes,7,483,90,22,54,-26,25.0
252,253,16.06.2021,0.42,0.4,1,0,0,0.0,0,medium_sme,30,existing credits paid back duly till now,car (new),2150,... < 100 DM,1 <= ... < 4 years,4,guarantor,2,Telecommunications,24,small_businesses,corporation,1,5m-10m,10,yes,4,147,35,145,94,-73,72.0
253,254,16.09.2022,0.5,0.48,0,0,0,0.0,1,large_sme,24,delay in paying off in the past,rent_payment,4151,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,3,Oil and gas,35,individual_consumers,corporation,2,5m-10m,10,yes,2,552,57,6,5,-61,65.0
254,255,22.11.2022,0.12,0.1,0,0,0,0.0,2,medium_sme,9,existing credits paid back duly till now,rent_payment,2030,unknown/ no savings account,4 <= ... < 7 years,2,none,1,Construction,24,individual_consumers,corporation,1,5m-10m,10,yes,0,740,61,48,23,100,33.0
255,256,4.08.2020,0.42,0.4,0,0,0,0.0,0,medium_sme,60,delay in paying off in the past,domestic appliances,7418,unknown/ no savings account,1 <= ... < 4 years,1,none,1,Real Estate,27,individual_consumers,corporation,1,1m-5m,10,yes,4,243,7,25,57,-41,42.0
256,257,16.07.2023,0.15,0.13,0,0,0,0.0,3,large_sme,24,critical account/ other credits existing (not at this bank),domestic appliances,2684,... < 100 DM,1 <= ... < 4 years,4,none,2,Real Estate,35,individual_consumers,corporation,2,1m-5m,10,yes,4,143,94,5,88,6,80.0
257,258,15.04.2022,0.09,0.07,1,0,0,0.0,2,micro_sme,12,all credits at this bank paid back duly,domestic appliances,2149,... < 100 DM,1 <= ... < 4 years,4,none,1,Telecommunications,29,individual_consumers,partnership,1,5m-10m,10,yes,4,541,80,54,18,33,75.0
258,259,21.05.2020,0.46,0.44,0,0,0,0.0,0,large_sme,15,existing credits paid back duly till now,car (used),3812,100 <= ... < 500 DM,... < 1 year ,1,none,4,Construction,23,individual_consumers,corporation,1,5m-10m,10,yes,6,405,95,3,89,9,60.0
259,260,7.02.2020,0.25,0.23,0,0,0,0.0,1,large_sme,11,critical account/ other credits existing (not at this bank),domestic appliances,1154,100 <= ... < 500 DM,new company,4,none,4,Real Estate,57,individual_consumers,corporation,3,1m-5m,10,yes,3,456,83,23,97,-33,85.0
260,261,16.07.2021,0.2,0.18,0,0,0,0.0,2,micro_sme,12,existing credits paid back duly till now,rent_payment,1657,... < 100 DM,1 <= ... < 4 years,2,none,2,Real Estate,27,individual_consumers,corporation,1,5m-10m,10,yes,5,386,16,92,42,-95,76.0
261,262,20.03.2020,0.37,0.35,0,0,0,0.0,1,micro_sme,24,existing credits paid back duly till now,domestic appliances,1603,... < 100 DM,.. >= 7 years,4,none,4,Construction,55,individual_consumers,corporation,1,5m-10m,10,yes,4,169,72,12,12,-22,83.0
262,263,1.11.2021,0.42,0.4,0,0,0,0.0,3,micro_sme,18,critical account/ other credits existing (not at this bank),car (new),5302,... < 100 DM,.. >= 7 years,2,none,4,Telecommunications,36,individual_consumers,partnership,3,10m+,10,yes,0,525,88,100,39,-11,8.0
263,264,17.11.2022,0.47,0.45,0,0,0,0.0,2,large_sme,12,critical account/ other credits existing (not at this bank),lease_investment,2748,... < 100 DM,.. >= 7 years,2,none,4,Telecommunications,57,small_businesses,partnership,3,1m-5m,10,yes,2,182,2,84,89,-73,30.0
264,265,7.09.2022,0.11,0.09,0,0,0,0.0,1,large_sme,10,critical account/ other credits existing (not at this bank),car (new),1231,... < 100 DM,.. >= 7 years,3,none,4,Real Estate,32,individual_consumers,corporation,2,1m-5m,20,no,6,137,81,14,70,9,15.0
265,266,1.08.2023,0.38,0.36,1,0,0,0.0,1,medium_sme,15,existing credits paid back duly till now,domestic appliances,802,... < 100 DM,.. >= 7 years,4,none,3,Construction,37,individual_consumers,corporation,1,5m-10m,20,yes,10,490,126,108,82,-3,84.0
266,267,7.07.2021,0.33,0.31,0,0,0,0.0,2,large_sme,36,critical account/ other credits existing (not at this bank),business,6304,unknown/ no savings account,.. >= 7 years,4,none,4,Real Estate,36,individual_consumers,corporation,2,5m-10m,10,yes,1,141,53,2,13,32,76.0
267,268,5.06.2023,0.41,0.39,0,0,0,0.0,0,large_sme,24,existing credits paid back duly till now,domestic appliances,1533,... < 100 DM,... < 1 year ,4,none,3,Construction,38,large_enterprises,corporation,1,5m-10m,10,yes,1,384,69,86,90,6,65.0
268,269,24.12.2021,0.59,0.57,1,0,0,0.0,1,micro_sme,14,existing credits paid back duly till now,car (new),8978,... < 100 DM,.. >= 7 years,1,none,4,Oil and gas,45,individual_consumers,corporation,1,10m+,10,no,7,654,146,123,59,-65,100.0
269,270,27.04.2020,0.14,0.12,0,0,0,0.0,0,large_sme,24,existing credits paid back duly till now,domestic appliances,999,unknown/ no savings account,.. >= 7 years,4,none,2,Construction,25,individual_consumers,corporation,2,5m-10m,10,yes,5,405,15,39,0,-84,18.0
270,271,10.08.2022,0.08,0.06,0,0,0,0.0,2,large_sme,18,existing credits paid back duly till now,car (new),2662,unknown/ no savings account,4 <= ... < 7 years,4,none,3,Oil and gas,32,individual_consumers,corporation,1,5m-10m,10,no,2,752,51,35,13,-44,63.0
271,272,10.07.2020,0.18,0.16,0,0,0,0.0,3,large_sme,12,critical account/ other credits existing (not at this bank),rent_payment,1402,500 <= ... < 1000 DM ,4 <= ... < 7 years,3,none,4,Construction,37,individual_consumers,sole_proprietorship,1,5m-10m,10,yes,5,364,99,6,36,25,14.0
272,273,21.04.2020,0.42,0.4,0,0,0,0.0,0,medium_sme,48,all credits at this bank paid back duly,car (new),12169,unknown/ no savings account,new company,4,co-applicant,4,Telecommunications,36,individual_consumers,partnership,1,10m+,10,yes,5,537,96,68,1,97,57.0
273,274,15.04.2022,0.98,0.96,1,0,0,0.0,1,medium_sme,48,existing credits paid back duly till now,domestic appliances,3060,... < 100 DM,4 <= ... < 7 years,4,none,4,Real Estate,28,individual_consumers,corporation,2,5m-10m,10,yes,4,483,86,117,75,-21,92.0
274,275,12.04.2023,0.11,0.09,1,0,0,0.0,0,micro_sme,30,existing credits paid back duly till now,education,11998,... < 100 DM,... < 1 year ,1,none,1,Telecommunications,34,individual_consumers,corporation,1,1m-5m,10,yes,8,402,130,106,100,97,74.0
275,276,30.01.2022,0.44,0.42,0,0,0,0.0,3,large_sme,9,existing credits paid back duly till now,domestic appliances,2697,... < 100 DM,1 <= ... < 4 years,1,none,2,Real Estate,32,individual_consumers,corporation,1,5m-10m,20,yes,4,67,59,0,48,-5,23.0
276,277,19.04.2021,0.51,0.49,0,0,0,0.0,2,large_sme,18,critical account/ other credits existing (not at this bank),domestic appliances,2404,... < 100 DM,1 <= ... < 4 years,2,none,2,Construction,26,individual_consumers,corporation,2,5m-10m,10,yes,3,553,24,69,14,-97,35.0
277,278,17.07.2023,0.27,0.25,0,0,0,0.0,3,micro_sme,12,existing credits paid back duly till now,rent_payment,1262,unknown/ no savings account,.. >= 7 years,2,none,4,Oil and gas,49,individual_consumers,corporation,1,1m-5m,10,yes,7,265,16,8,76,-19,27.0
278,279,26.11.2023,0.67,0.65,1,0,0,0.0,3,large_sme,6,existing credits paid back duly till now,rent_payment,4611,... < 100 DM,... < 1 year ,1,none,4,Oil and gas,32,individual_consumers,corporation,1,5m-10m,10,yes,3,696,76,149,100,-30,78.0
279,280,23.07.2022,0.12,0.09,0,0,0,0.0,1,large_sme,24,existing credits paid back duly till now,domestic appliances,1901,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,4,Construction,29,individual_consumers,sole_proprietorship,1,10m+,10,yes,5,600,99,61,26,-12,80.0
280,281,9.02.2021,0.37,0.35,0,0,0,0.0,2,large_sme,15,critical account/ other credits existing (not at this bank),car (used),3368,.. >= 1000 DM ,.. >= 7 years,3,none,4,Telecommunications,23,individual_consumers,sole_proprietorship,2,5m-10m,10,yes,6,56,51,72,6,-98,2.0
281,282,12.12.2021,0.05,0.03,0,0,0,0.0,3,large_sme,12,existing credits paid back duly till now,rent_payment,1574,... < 100 DM,1 <= ... < 4 years,4,none,2,Real Estate,50,individual_consumers,corporation,1,5m-10m,10,yes,1,230,62,39,81,-35,-4.0
282,283,30.11.2021,0.39,0.37,0,0,0,0.0,3,small_sme,18,all credits at this bank paid back duly,domestic appliances,1445,unknown/ no savings account,4 <= ... < 7 years,4,none,4,Construction,49,small_businesses,corporation,1,1m-5m,10,yes,6,720,3,4,30,42,65.0
283,284,7.03.2021,0.18,0.16,0,0,0,0.0,2,large_sme,15,critical account/ other credits existing (not at this bank),rent_payment,1520,unknown/ no savings account,.. >= 7 years,4,none,4,Oil and gas,63,individual_consumers,corporation,1,5m-10m,10,yes,5,698,33,41,78,-82,69.0
284,285,13.12.2021,0.17,0.15,0,0,0,0.0,1,medium_sme,24,critical account/ other credits existing (not at this bank),car (new),3878,100 <= ... < 500 DM,... < 1 year ,4,none,2,Construction,37,individual_consumers,corporation,1,5m-10m,10,yes,7,28,62,59,24,3,0.0
